filename,purpose,view,dimensions_or_viewBox,anchor_point,source_creator,license,status
assets/exports/world/bus-lane-tilted.svg,bus-lane,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/bus-lane-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/crosswalk-top.svg,crosswalk,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/crosswalk-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/crosswalk-tilted.svg,crosswalk,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/crosswalk-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/river-water-top.svg,river-water,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/river-water-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/river-water-tilted.svg,river-water,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/river-water-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/river-edge-top.svg,river-edge,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/river-edge-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/river-edge-tilted.svg,river-edge,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/river-edge-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/bridge-top.svg,bridge,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/bridge-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/bridge-tilted.svg,bridge,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/bridge-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/park-top.svg,park,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/park-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/park-tilted.svg,park,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/park-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/tree-01-top.svg,tree-01,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/tree-01-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/tree-01-tilted.svg,tree-01,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/tree-01-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/tree-02-top.svg,tree-02,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/tree-02-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/tree-02-tilted.svg,tree-02,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/tree-02-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/tree-03-top.svg,tree-03,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/tree-03-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/tree-03-tilted.svg,tree-03,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/tree-03-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shrub-01-top.svg,shrub-01,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/shrub-01-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shrub-01-tilted.svg,shrub-01,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/shrub-01-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shrub-02-top.svg,shrub-02,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/shrub-02-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shrub-02-tilted.svg,shrub-02,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/shrub-02-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/bench-top.svg,bench,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/bench-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/bench-tilted.svg,bench,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/bench-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/streetlight-top.svg,streetlight,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/streetlight-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/streetlight-tilted.svg,streetlight,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/streetlight-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shadow-canopy-top.svg,shadow-canopy,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/shadow-canopy-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shadow-canopy-tilted.svg,shadow-canopy,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/shadow-canopy-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shadow-furniture-top.svg,shadow-furniture,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/shadow-furniture-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/shadow-furniture-tilted.svg,shadow-furniture,tilted,0 0 320 218,"160,176",Original SVG by Codex; source: assets/sources/world/shadow-furniture-tilted.svg,Project-owned; redistribution license not specified,final
